sentId,sentence
abuta_1_1,I did not realize until Monday night 6/24 that it was Royal Abuta Plus causing the problem.
abuta_1_2,It is the only new supplement I had started recently.
abuta_2_0,I started taking Royal Abuta Plus on the 20th of December.
abuta_2_1,"Since then, I have had 4 carbuncles in a period of 2 months."
abuta_2_2,I don't know if it related but it sure seem conincidental
acacia_1_1,Twice a day half of a tablespoon each time.
acacia_1_2,I am on my 2 Nd container and feel like it helps so I don't feel sick soon after eating a heavy meal.
acacia_2_0,Was hopeful that this would be a fiber that I could tolerate.
acacia_2_2,I also have allergies so this is probably not the best thing to take since it is from Mimosa trees.
acacia_3_0,Have had IBS-constipation for 40 yrs and this has helped my condition immensely!
acacia_3_2,Feel like I'm alive and independent again!
acacia_4_0,I have had IBS for years.
acacia_4_1,This was suggested to me and I've been much better since using it.
acacia_4_2,It has helped my loose stools problem.
acacia_5_0,I take this because of mild IBS symptoms.
acacia_5_1,I have found I use 1/4 tsp every morning sprinkled on whatever I am eating for breakfast.
acacia_5_2,I am now regular with one bowel movement a day.
acacia_5_3,If I take over 1/4 tsp I have lose bowels....So for me it is 1/4 tsp and all is well.
acai_1_0,I' 72 years old and have bee using Acai capsuls for over a year now.
acai_1_1,"They have kept my stomach fairly flat, and I'm more than satisyed."
acai_4_0,i was taking acai supplements while I had a problem with tgree loose front teeth .
acai_4_2,it also imptoved my daughters skin condition
acai_5_0,Easy to swallow capsules assisted with joint pain and tiredness
acerola_1_0,I had edema of the legs and feet.
acerola_1_2,Waist size from 52 to under 46.
acerola_2_1,"Unable to find this concentration at my local Sprouts Store any longer, I have been ordering from vitacost.com."
acerola_2_2,"It is very effective, easy to take, and very affordable."
acetyl-l-carnitine_1_0,I take capsules of 500mg by ProCapsLabs and I am amazed at the improvements.
acetyl-l-carnitine_1_1,It definitely has sharpened my mind and alertness and awareness is much improved.
acetyl-l-carnitine_1_2,"(I have Hypothyroidism, and I space this away from my Thyroid Medicine)."
acetyl-l-carnitine_1_3,I also take this am and pm.
acetyl-l-carnitine_2_0,"Great help to concentration and organization, improved muscular activity  BUT memory got worse!"
acetyl-l-carnitine_3_2,I still write short stories and have a full social life filled with friends and volunteer work.
acetyl-l-carnitine_3_3,I'm sure that my life would be very different if I weren't taking this supplement.
acetyl-l-carnitine_3_4,My mother and her sisters at 70 were needing considerable allowances made for them due to their cognition problems.
acetyl-l-carnitine_3_5,I would recommend this regime to anyone who notices their brain needs help.
acetyl-l-carnitine_5_0,Certainly helped me think more clearly.
ackee_2_0,"Test from Webmd, please remove this review."
aconite_3_0,I seemed to start having very bad pains in the left side of my head.
aconite_4_0,I took a homeopathic remedy for colds and flu.
aconite_4_1,There were no warnings about the product containing an active ingredient that could cause tachycardia.
aconite_4_2,I had 9 episodes of uncontrolled tachycardia between 1-14-2015 and 1-18-2015.
aconite_4_3,I was taken to E.R.
aconite_4_4,"3 times by ambulance, then transferred to Kaiser after being stabilized."
aconite_4_5,I was given Adenosine at least 3 times to stop my heart because I couldn't stop the racing.
aconite_4_6,My heart-rate was between 140 and 180 beats per minute.
aconite_4_7,I was hospitalized from 1-16-2015 to 1-19/2015.
aconite_5_0,This ingredient is toxic poison.
aconite_5_1,I tookhomeopathic drops  called Truameel.
activated-charcoal_2_0,I have these gas attacks and the charcoal takes the pain away in seconds.
activated-charcoal_4_0,I will never take another Activated Charcoal capsule again.
activated-charcoal_4_1,The pain/negatives incredibly outweighed any positives.
activated-charcoal_5_0,I take two capsules in the morning before I eat and my bloating went away.
activated-charcoal_5_1,I would get bloated almost after anything I ate.
adenosine_1_0,Adneosine isn't called the Grim Reeper for no reason.
adenosine_1_1,THe first time I was given this it worked brilliantly.
adenosine_1_2,HR was at 240 bpm.
adenosine_1_3,Second time I knew what I was going to experience and was terrified.
adenosine_1_4,It took 2 attempts but worked on the second.
adenosine_1_5,This medication had my life flashing before my eyes and I thought I was going to die!!!
adenosine_1_7,"Does the med work, yes but blimey it's scary as hell how it makes you feel like your dying."
adenosine_2_0,In the ER for tachycardia (188BPM).
adenosine_2_1,"Given 6mg with no results, then given 12mg with absolutely wonderful results."
adenosine_3_0,I was administered adenosine intravenously to end an episode of rapid heart beat four times.
adenosine_3_1,"It was a horrible experience that made me feel like I was dying, and it did no good."
adenosine_5_0,Went to ER three times for rapid heart beat.
adenosine_5_1,"First time, 170, no medicine required."
adenosine_5_2,"Second time, 200 and 6mg of adenosine, heart returned to normal immediately."
adenosine_5_3,"Little discomfort, chest tightening and dizziness for a few seconds."
