id,name,href
abscess-root,ABSCESS ROOT,https://www.webmd.com/vitamins/ai/ingredientmono-266/abscess-root
abuta,ABUTA,https://www.webmd.com/vitamins/ai/ingredientmono-267/abuta
acacia,ACACIA,https://www.webmd.com/vitamins/ai/ingredientmono-268/acacia
acacia-rigidula,ACACIA RIGIDULA,https://www.webmd.com/vitamins/ai/ingredientmono-1411/acacia-rigidula
acai,ACAI,https://www.webmd.com/vitamins/ai/ingredientmono-1109/acai
acerola,ACEROLA,https://www.webmd.com/vitamins/ai/ingredientmono-608/acerola
acetyl-l-carnitine,ACETYL-L-CARNITINE,https://www.webmd.com/vitamins/ai/ingredientmono-834/acetyl-l-carnitine
ackee,ACKEE,https://www.webmd.com/vitamins/ai/ingredientmono-817/ackee
aconite,ACONITE,https://www.webmd.com/vitamins/ai/ingredientmono-609/aconite
activated-charcoal,ACTIVATED CHARCOAL,https://www.webmd.com/vitamins/ai/ingredientmono-269/activated-charcoal
adenosine,ADENOSINE,https://www.webmd.com/vitamins/ai/ingredientmono-1067/adenosine
adrenal-extract,ADRENAL EXTRACT,https://www.webmd.com/vitamins/ai/ingredientmono-941/adrenal-extract
adrue,ADRUE,https://www.webmd.com/vitamins/ai/ingredientmono-48/adrue
african-wild-potato,AFRICAN WILD POTATO,https://www.webmd.com/vitamins/ai/ingredientmono-671/african-wild-potato
aga,AGA,https://www.webmd.com/vitamins/ai/ingredientmono-190/aga
agar,AGAR,https://www.webmd.com/vitamins/ai/ingredientmono-80/agar
agaricus-mushroom,AGARICUS MUSHROOM,https://www.webmd.com/vitamins/ai/ingredientmono-1165/agaricus-mushroom
agave,AGAVE,https://www.webmd.com/vitamins/ai/ingredientmono-1450/agave
agrimony,AGRIMONY,https://www.webmd.com/vitamins/ai/ingredientmono-604/agrimony
ahcc,AHCC,https://www.webmd.com/vitamins/ai/ingredientmono-1110/ahcc
ajuga-nipponensis,AJUGA NIPPONENSIS,https://www.webmd.com/vitamins/ai/ingredientmono-1137/ajuga-nipponensis
albizia,ALBIZIA,https://www.webmd.com/vitamins/ai/ingredientmono-1451/albizia
alchemilla,ALCHEMILLA,https://www.webmd.com/vitamins/ai/ingredientmono-654/alchemilla
alder-buckthorn,ALDER BUCKTHORN,https://www.webmd.com/vitamins/ai/ingredientmono-850/alder-buckthorn
aletris,ALETRIS,https://www.webmd.com/vitamins/ai/ingredientmono-605/aletris
alfalfa,ALFALFA,https://www.webmd.com/vitamins/ai/ingredientmono-19/alfalfa
algin,ALGIN,https://www.webmd.com/vitamins/ai/ingredientmono-275/algin
alkanna,ALKANNA,https://www.webmd.com/vitamins/ai/ingredientmono-606/alkanna
allspice,ALLSPICE,https://www.webmd.com/vitamins/ai/ingredientmono-81/allspice
aloe,ALOE,https://www.webmd.com/vitamins/ai/ingredientmono-607/aloe
alpha-hydroxy-acids,ALPHA HYDROXY ACIDS,https://www.webmd.com/vitamins/ai/ingredientmono-977/alpha-hydroxy-acids
alpha-alanine,ALPHA-ALANINE,https://www.webmd.com/vitamins/ai/ingredientmono-1247/alpha-alanine
alpha-gpc,ALPHA-GPC,https://www.webmd.com/vitamins/ai/ingredientmono-1087/alpha-gpc
