ingredient,first_sentences
abscess-root,There isn’t enough information to know if abscess root is safe.
abuta,There isn't enough reliable information available about abuta to know if it is safe.
acacia,Acacia is  LIKELY SAFE  for most adults when taken by mouth in amounts commonly found in food.
acacia-rigidula,There isn’t enough reliable information available to know if Acacia rigidula is safe.
acai,"Acai is  POSSIBLY SAFE  when taken by mouth and appropriately, short-term."
acerola,Acerola is  POSSIBLY SAFE  for most adults.
acetyl-l-carnitine,Acetyl-L-carnitine is  LIKELY SAFE  for most adults and  POSSIBLY SAFE  for most children when taken by mouth.
ackee,The ripe fruit of ackee is  LIKELY SAFE  when eaten as a food.
aconite,Do not use aconite. Aconite root is  UNSAFE  when taken by  mouth.
activated-charcoal,"Activated charcoal is  LIKELY SAFE  for most adults when taken by mouth, short-term, or when applied to wounds."
adenosine,Adenosine is  LIKELY SAFE  for most people when given by intravenous (IV) injection by qualified healthcare providers.
adrenal-extract,Adrenal extract is  UNSAFE  when injected.
adrue,There isn't enough information to know if adrue is safe.
african-wild-potato,Some African wild potato products are  POSSIBLY SAFE  for most people when taken by mouth.
aga,Aga is  UNSAFE  when taken by  mouth.
agar,Agar is  POSSIBLY SAFE  for most adults when taken by mouth with at least one 8-ounce glass of water.
agaricus-mushroom,Agaricus mushroom extract seems to be safe for most people when taken for up to 12 months.
agave,The agave plant is  POSSIBLY UNSAFE  for most adults when applied to the skin.
agrimony,Agrimony is  POSSIBLY SAFE  for most adults when used short-term.
ahcc,AHCC is  POSSIBLY SAFE  when taken by  mouth  appropriately in medicinal amounts.
ajuga-nipponensis,It isn’t known if Ajuga nipponensis is safe.
albizia,It is not known if albizia is safe.
alchemilla,Alchemilla is  POSSIBLY SAFE  for most people when taken by  mouth  appropriately.
alder-buckthorn,Alder buckthorn is  POSSIBLY SAFE  for most adults when taken by  mouth  for less than 8-10 days.
aletris,Aletris is  POSSIBLY SAFE  when taken by  mouth  appropriately.
alfalfa,Alfalfa leaves are  POSSIBLY SAFE  for most adults.
algin,Algin seems to be  LIKELY SAFE  when used in food amounts.
alkanna,"There’s a lot of concern about using alkanna as medicine, because it contains harmful chemicals called hepatotoxic pyrrolizidine alkaloids (PAs). Hepatotoxic PAs can block  blood  flow in the veins in the  liver  and cause  liver  damage. Hepatotoxic PAs might also cause  cancer."
allspice,Allspice is safe for most adults when used as a spice.
aloe,Aloe gel is  LIKELY SAFE  when applied to the skin appropriately as a medicine or as a cosmetic.
alpha-hydroxy-acids,Alpha hydroxy acids at a concentration of 10% or less as a lotion or cream are  LIKELY SAFE  for most people when applied to the skin appropriately and as directed.
