ingredient,side_effects
abscess-root,There isn’t enough information to know if abscess root is safe. It might cause side effects such as  stomach  upset and  sneezing .  
abuta,There isn't enough reliable information available about abuta to know if it is safe.  
acacia,"Acacia is  LIKELY SAFE  for most adults when taken by mouth in amounts commonly found in food.    

Acacia is  POSSIBLY SAFE  when taken by mouth in amounts used for medical purposes. Up to 30 grams daily has been used safely for 6 weeks. However, it can cause minor adverse effects, including gas, bloating, nausea, and loose stools.   
 "
acacia-rigidula,There isn’t enough reliable information available to know if Acacia rigidula is safe. There have been several reported cases of increased  heart rate  and  heart palpitations  in people taking supplements that contain Acacia rigidula and other stimulant ingredients. There is one reported case of cardiac arrest. It’s not clear if these side effects were caused by Acacia rigidula or other stimulants in these products.  
acai,"Acai is  POSSIBLY SAFE  when taken by mouth and appropriately, short-term. Side effects of using acai have not been reported. But drinking raw acai juice has been linked to outbreaks of a disease called American trypanosomiasis or Chagas Disease.   
 "
acerola,"Acerola is  POSSIBLY SAFE  for most adults. It can cause some side effects including  nausea ,  stomach cramps , sleepiness, and insomnia. Doses that are too high can cause  diarrhea .  "
acetyl-l-carnitine,"Acetyl-L-carnitine is  LIKELY SAFE  for most adults and  POSSIBLY SAFE  for most children when taken by mouth. It can cause some side effects including stomach upset, nausea, vomiting, dry mouth, headache, and restlessness. It can also cause a ""fishy"" odor of the urine, breath, and sweat.   

Acetyl-L-carnitine is  POSSIBLY SAFE  for most adults when given intravenously (by IV). Use only under medical supervision.

 "
ackee,"The ripe fruit of ackee is  LIKELY SAFE  when eaten as a food.     The unripe fruit of ackee is  UNSAFE  to eat, even if it has been cooked. Additionally, the water used to cook the unripe fruit can be poisonous. The unripe fruit contains poisonous chemicals that can harm the  liver . The unripe fruit can also cause severely low  blood sugar levels , convulsions, and death.     "
aconite,"Do not use aconite. Aconite root is  UNSAFE  when taken by  mouth . All species of the plant are dangerous, and so are processed products. Aconite contains a strong, fast-acting poison that causes severe side effects such as  nausea ,  vomiting ,  weakness  or inability to move,  sweating ,  breathing problems , heart problems, and death.    Some people use aconite in a cream or lotion that is applied to the skin. This practice is also dangerous. The poisons in aconite can be absorbed through the skin, causing severe side effects.     "
activated-charcoal,"Activated charcoal is  LIKELY SAFE  for most adults when taken by mouth, short-term, or when applied to wounds. Side effects taking activated charcoal by mouth include constipation and black stools. More serious, but rare, side effects are a slowing or blockage of the intestinal tract, regurgitation into the lungs, and dehydration. 

 "
adenosine,"Adenosine is  LIKELY SAFE  for most people when given by intravenous (IV) injection by qualified healthcare providers. This form of adenosine is approved by the U.S. Food and Drug Administration (FDA). Adenosine triphosphate (ATP) is  POSSIBLY SAFE  when given by injection by qualified healthcare providers. Adenosine monophosphate (AMP) is  POSSIBLY SAFE  when given by intramuscular injection (IM) by qualified healthcare providers. Injections of adenosine can cause breathing problems and chest pain, especially when given at high doses. Adenosine can also cause headache, heart pounding, low blood pressure, nausea, sweating, flushing, lightheadedness, sleep problems, coughing, and anxiety.

 "
adrenal-extract,"Adrenal extract is  UNSAFE  when injected. There have been at least 50 reports of serious infection at the injection site.    There isn’t enough information available about the safety of adrenal extract when taken by mouth. But, there are serious concerns. Adrenal extract is made from adrenal glands gathered from slaughterhouses, and possibly from sick or diseased animals. Do not use adrenal extract from countries where a condition known as bovine spongiform  encephalitis  (BSE) has been reported, more commonly known as "" mad cow  disease."" Countries where BSE has been reported include Great Britain, France, the Netherlands, Portugal, Luxembourg, Ireland, Switzerland, Oman, Belgium, and others. If you can't tell if the adrenal extract is from a country without BSE, don't use it.  "
adrue,There isn't enough information to know if adrue is safe.     
african-wild-potato,"Some African wild potato products are  POSSIBLY SAFE  for most people when taken by mouth. Side effects include nausea, indigestion, gas, diarrhea, or constipation, and possibly sexual side effects such as trouble getting an erection or less interest in sex. However, other African wild potato products have been associated with decreased production of blood cells and  irregular heartbeat .     "
aga,"Aga is  UNSAFE  when taken by  mouth . It can cause side effects such as sleepiness, confusion,  dizziness , delirium, and death.     "
agar,"Agar is  POSSIBLY SAFE  for most adults when taken by mouth with at least one 8-ounce glass of water. If it is not taken with enough water, agar can swell and block the  esophagus  or bowel. Immediate medical attention is necessary if  chest pain , vomiting, or difficulty swallowing or breathing occurs after taking agar. In some people, agar may also  raise cholesterol .     "
agaricus-mushroom,"Agaricus mushroom extract seems to be safe for most people when taken for up to 12 months.  Powdered agaricus seems to be safe for most people when taken for up to 6 months. Agaricus products can cause blood sugar to go too low (hypoglycemia) in some people with diabetes. They can also cause nausea, diarrhea and upset stomach.   

A few people who took agaricus mushroom during treatment for cancer have developed severe liver damage, and a few have had allergic reactions.  

"
agave,"The agave plant is  POSSIBLY UNSAFE  for most adults when applied to the skin. Exposure to the fresh agave plant may cause swelling and redness, skin sores, and swelling of small  blood  vessels (veins) within minutes to hours of exposure. The sap appears to be the most irritating part of the plant.    Not enough is known about the safety of agave when taken by  mouth .  "
agrimony,Agrimony is  POSSIBLY SAFE  for most adults when used short-term. But large amounts of agrimony are  POSSIBLY UNSAFE  because agrimony contains chemicals called tannins.    Agrimony can make some people's skin extra sensitive to sunlight and more likely to burn.     
ahcc,AHCC is  POSSIBLY SAFE  when taken by  mouth  appropriately in medicinal amounts. Doses of AHCC ranging from 4.5 to 6 grams daily have been used safely for up to 6 months. A lower dose (3 grams daily) has been used safely for up to 9 years.     
ajuga-nipponensis,"It isn’t known if Ajuga nipponensis is safe. Side effects can include  diarrhea ,  nausea , and  vomiting .  "
albizia,It is not known if albizia is safe. But albizia might cause too much sleepiness.  
alchemilla,"Alchemilla is  POSSIBLY SAFE  for most people when taken by  mouth  appropriately. Although some German researchers warn about possible  liver  damage, other experts consider the concern to be exaggerated.    There is very little information available about the safety of applying alchemilla to the skin.      "
alder-buckthorn,"Alder buckthorn is  POSSIBLY SAFE  for most adults when taken by  mouth  for less than 8-10 days. Taking alder buckthorn by  mouth  for more than 8-10 days is  POSSIBLY UNSAFE . It might cause  low potassium ; heart problems;  stomach problems ; muscle  weakness ; and blood problems, including  blood in the urine . Some people get uncomfortable  cramps  from alder buckthorn. If you experience  diarrhea  or watery stools while using alder buckthorn, stop taking it.    The fresh bark can cause severe  vomiting . Make sure you are using a bark product that is at least one year old or has been heat processed.     "
aletris,"Aletris is  POSSIBLY SAFE  when taken by  mouth  appropriately. It can cause  colic ,  dizziness , or confusion.     "
alfalfa,"Alfalfa leaves are  POSSIBLY SAFE  for most adults. However, taking alfalfa seeds long-term is  LIKELY UNSAFE . Alfalfa seed products may cause reactions that are similar to the  autoimmune disease  called lupus erythematosus.    Alfalfa might also cause some people's skin to become extra sensitive to the sun. Wear sunblock outside, especially if you are light-skinned.     "
algin,"Algin seems to be  LIKELY SAFE  when used in food amounts. However, the safety of larger medicinal amounts is not known.     "
alkanna,"There’s a lot of concern about using alkanna as medicine, because it contains harmful chemicals called hepatotoxic pyrrolizidine alkaloids (PAs). Hepatotoxic PAs can block  blood  flow in the veins in the  liver  and cause  liver  damage. Hepatotoxic PAs might also cause  cancer  and  birth defects . Some retailers of alkanna products attempt to remove these poisonous chemicals. If they meet certain purity standards, these products can be labeled “hepatotoxic PA-free.” Alkanna preparations that are not certified and labeled “hepatotoxic PA-free” are considered  UNSAFE .    It’s also  UNSAFE  to apply alkanna to broken skin. The dangerous chemicals in alkanna can be absorbed quickly through broken skin and can lead to dangerous body-wide toxicity. Steer clear of alkanna-containing skin products that aren’t certified and labeled “hepatotoxic PA-free.” There isn’t enough information to know if it’s safe to apply alkanna to unbroken skin. It’s best to avoid use.  "
allspice,"Allspice is safe for most adults when used as a spice. However, there is not enough information available to know if allspice is safe in medicinal amounts.    When applied directly to the skin, allspice can cause allergic skin reactions in sensitive people.  "
aloe,"Aloe gel is  LIKELY SAFE  when applied to the skin appropriately as a medicine or as a cosmetic.    Aloe is  POSSIBLY SAFE  when taken by mouth appropriately, short-term. Aloe gel has been used safely in a dose of 15 mL daily for up to 42 days. Also, a solution containing 50% aloe gel has been safely used twice daily for 4 weeks. A specific gel complex (Aloe QDM complex Univera Inc., Seoul, South Korea) has been used safely at a dose of about 600 mg daily for up to 8 weeks.     Taking aloe latex by mouth is  POSSIBLY UNSAFE  at any dose, but  LIKELY UNSAFE  when taken in high doses. Aloe latex can cause some side effects such as stomach pain and cramps. Long-term use of large amounts of aloe latex might cause diarrhea, kidney problems, blood in the urine, low potassium, muscle weakness, weight loss, and heart disturbances. Taking aloe latex 1 gram daily for several days can be fatal.     There have been a few reports of liver problems in some people who have taken an aloe leaf extract; however, this is uncommon. It is thought to only occur in people who are extra sensitive (hypersensitive) to aloe.  "
alpha-hydroxy-acids,"Alpha hydroxy acids at a concentration of 10% or less as a lotion or cream are  LIKELY SAFE  for most people when applied to the skin appropriately and as directed. In some people, alpha hydroxy acids can make the skin extra sensitive to sunlight. Be sure to use a sunscreen while using alpha hydroxy acid products.   
 
Alpha hydroxy acids can also cause mild skin irritation, redness, swelling, itching, and skin discoloration.    

Facial peels, lotions, and creams with a concentration greater than 10% should only be used under the supervision of a dermatologist. Facial peels can cause moderate to severe skin irritation, redness, and burning. Facial peels left on the skin for periods longer than recommended can cause severe burns to the skin.   

When taken by mouth, the alpha hydroxy acid called malic acid is  POSSIBLY SAFE  when used short-term. Some people can have side effects including diarrhea, nausea, and general stomach discomfort.

 "
alpha-alanine,Alpha-alanine seems to be safe when used appropriately for a short time. Side effects have not been reported in studies of alpha-alanine.  
alpha-gpc,"Alpha-GPC seems to be safe when used appropriately. It can cause side effects in some people including  heartburn ,  headache ,  insomnia ,  dizziness ,  skin rash , and confusion.  "
alpha-ketoglutarate,Alpha-ketoglutarate is  POSSIBLY SAFE  for most adults when used appropriately.      
alpha-linolenic-acid,"Alpha-linolenic acid is  LIKELY SAFE  for most adults when used in amounts found in foods. There isn't enough information to know if it is safe in higher amounts. Alpha-linolenic acid from food sources is very well tolerated. However, it is high in calories and may cause weight gain if consumed in excess.    "
alpha-lipoic-acid,"Alpha-lipoic acid is  POSSIBLY SAFE  for most adults when taken by mouth for up to 4 years, when used intravenously for up to 3 weeks, or when applied to the skin as a cream for up to 12 weeks. People taking alpha-lipoic acid by mouth might get a rash. People at risk for thiamine deficiency should take a thiamine supplement.   
 "
alpine-ladys-mantle,It is not known if alpine lady's mantle is safe or what the possible side effects might be.  
