ingredient,other_names,num_names,href,side_effects
aconite,"Aconit, Aconiti Tuber, Aconito, Aconitum, Aconitum Angustifolium, Aconitum napellus, Aconitum carmichaeli, Aconitum kusnezoffi, Atis, Ativisha, Autumn Monkshood, Bachnag, Bikhma, Blue Monkshood Root, Caowu, Chuanwu, Chuan-wu, Fu Zi, Futzu, Helmet Flower, Monkshood, Monkshood Tuber, Prativisha, Radix Aconiti, Radix Aconiti Kusnezoffii, Radix Aconiti Lateralis Preparata, Vachnag, Vatsnabh, Visha, Wild Aconitum, Wolfsbane, Wutou",32,https://www.webmd.com/vitamins/ai/ingredientmono-609/aconite,"Do not use aconite. Aconite root is  UNSAFE  when taken by  mouth . All species of the plant are dangerous, and so are processed products. Aconite contains a strong, fast-acting poison that causes severe side effects such as  nausea ,  vomiting ,  weakness  or inability to move,  sweating ,  breathing problems , heart problems, and death.    Some people use aconite in a cream or lotion that is applied to the skin. This practice is also dangerous. The poisons in aconite can be absorbed through the skin, causing severe side effects.     "
aga,"Agaric, Amanita muscaria, Amanite Tue-Mouches, Fausse Oronge, Fly Agaric, Matamoscas, Red Fly Agaric, Red Toadstool, Soma",9,https://www.webmd.com/vitamins/ai/ingredientmono-190/aga,"Aga is  UNSAFE  when taken by  mouth . It can cause side effects such as sleepiness, confusion,  dizziness , delirium, and death.     "
arum,"Adder's Root, Aro, Aro Maculado, Arum maculatum, Arum Tachete, Bobbins, Chandelle, Cocky Baby, Cornet, Cuckoo Pint, Cypress Powder, Dragon Root, Friar's Cowl, Gaglee, Gouet, Gouet Commun, Gouet Tachete, Herbe a Pain, Kings and Queens, Ladysmock, Langue de B&oelig;uf, Lords and Ladies, Manteau de la Sainte Vierge, Pain de Pourceau, Parson and Clerk, Pied de Veau, Pilette, Portland Arrowroot, Quaker, Ramp, Starchwort, Vachotte, Wake Robin, Yaro",34,https://www.webmd.com/vitamins/ai/ingredientmono-209/arum,"Arum is  UNSAFE  when taken by  mouth . The root has poisonous chemicals that can cause a  swollen tongue . These chemicals can also cause bloody  vomiting  and bloody  diarrhea , which are signs of dangerous bleeding inside the body.     "
black-nightshade,"Cr&egrave;ve-Chien, Garden Nightshade, Herbe a Gale, Herbe aux Magiciens, Herbe Maure, Houndsberry, Kakamachi, Kakmachi, Long Kui, Makoi, Morelle Noire, Myrtille de Jardin, Petty Morel, Poisonberry, Raisin de Loup, Solanum nigrum, Tomate du Diable, Tue-Chien, Yerba Mora",19,https://www.webmd.com/vitamins/ai/ingredientmono-821/black-nightshade,"Black nightshade is  UNSAFE  to take by  mouth . It contains a toxic chemical called solanin. At lower doses, it can cause  nausea ,  vomiting ,  headache , and other side effects. At higher doses, it can cause severe poisoning. Signs of poisoning include  irregular heartbeat ,  trouble breathing ,  dizziness , drowsiness,  twitching  of the arms and legs, cramps,  diarrhea , paralysis,  coma , and death.    There isn’t enough information to know whether it is safe to apply black nightshade directly to the skin.   "
butanediol-bd,"1,4-BD, 1,4-butanediol, 1,4-butylene glycol, 1,4-dihydroxybutane, 1,4-tetramethylene glycol, 2(3H)-Furanone di-dihydro, BD, BDO, Butane-1,4-diol, Butanodiol, Butyl&egrave;neglycol, Butylene Glycol, Butyl&egrave;ne Glycol, Glycol Butylique, Tetramethylene Glycol, Tetramethylene-1,4-diol",16,https://www.webmd.com/vitamins/ai/ingredientmono-21/butanediol-bd,"Butanediol is  UNSAFE  when taken by mouth. It has caused serious illness and more than 100 deaths.    Some side effects of butanediol are serious  breathing problems , coma, amnesia, combativeness, confusion, agitation,  vomiting ,  seizures , and very slow heartbeat. People who use butanediol on a regular basis and then stop may experience withdrawal symptoms such as sleep problems ( insomnia ), tremor, and  anxiety .     "
canadian-hemp,"Apocino del Canada, Apocyn Chanvrin, Apocynum cannabinum, Bitter Root, Canamo Canadiense, Canamo Indio, Catchfly, Chanvre Canadien, Chanvre du Canada, Chanvre Sauvage, Dogbane, Fly-Trap, Honeybloom, Indian-Hemp, Indian Physic, Milk Ipecac, Milkweed, Wallflower, Wild Cotton",19,https://www.webmd.com/vitamins/ai/ingredientmono-201/canadian-hemp,"Canadian hemp is  UNSAFE  to take by  mouth  because of its effects on the heart and other side effects.    Canadian hemp is irritating to the throat,  stomach , and  intestines ; and can cause  nausea  and  vomiting . It can slow the rate of the heartbeat, which can cause the body to release substances that cause the  blood pressure  to increase.    There’s not enough information to know if it is safe to apply Canadian hemp to the skin.  "
ciguatoxins,"C-CTX, C-CTX-1, C-CTX-2, Ciguatera Toxins, Ciguatoxin 1, Ciguatoxin-1B, Ciguatoxin 2, Ciguatoxin 3, Ciguatoxin 4B, CTX, CTX-1, CTX-2, CTX-3, CTX-4, CTX1B, CTX2A1, CTX2A2, CTX2B2, CTX3C, CTX4A, CTX4B, Gambiertoxin, GTX-4B, Gt 4b, I-CTX, P-CTX, P-CTX-1, P-CTX-1B, P-CTX-2, P-CTX-3, Pacific Ciguatoxin 1, Pacific ciguatoxin-3C, 2,3-dihydroxyCTX3C, 52-epi-54-deoxyCTX, 54-deoxyCTX",35,https://www.webmd.com/vitamins/ai/ingredientmono-766/ciguatoxins,"Ciguatoxins are  UNSAFE  when taken by mouth. One bite of fish tainted with ciguatoxins can be enough to cause symptoms. The most common symptoms include stomach cramps, nausea, vomiting, and diarrhea. Other symptoms include itching; numbness of lips, tongue, and throat; blurred vision; low blood pressure; slowed heart rate; alternating hot and cold sensations; and coma. In severe cases, shock, muscular paralysis, and death can occur.   
 "
clematis,"Clematide Recta, Clematis recta, Clematite, Clematite Dressee, Clematite Droite, Ground Virginsbower, Upright Virgin's Bower, Virgin's Bower",8,https://www.webmd.com/vitamins/ai/ingredientmono-628/clematis,"Fresh clematis is  UNSAFE  to take by  mouth . It can cause  colic ,  diarrhea , and severe irritation to the  stomach ,  intestines , and urinary tract when taken by  mouth .    The fresh plant is also  UNSAFE  when applied to the skin. With extended skin contact, the fresh plant can cause slow-healing  blisters  and burns.    There isn’t enough information to know whether it is safe to take dried clematis by  mouth  or apply the dried plant to the skin.  "
corkwood-tree,"Boacouillo, Boanco, Duboisia myoporoides, Palo Corcho, Pituri",5,https://www.webmd.com/vitamins/ai/ingredientmono-461/corkwood-tree,"Corkwood tree is  UNSAFE  when taken by  mouth . It can cause death.    Corkwood tree can cause many side effects including  dry mouth , decreased perspiration, dilation of pupils, blurred  vision , red,  dry skin , increased  body temperature , increased  heart  rate, difficulty urinating,  hallucinations , spasms, acute  psychosis , convulsions, and  coma . Overdose poisoning symptoms include sleepiness followed by restlessness, hallucinations, delirium, and manic episodes followed by exhaustion and  sleep .  "
corn-cockle,"Agrostemma githago, Cockle, Corn Campion, Corn Rose, Crown-of-the-Field, Neguilla, Nielle, Nielle des Bles, &OElig;illet des Champs, Purple Cockle",10,https://www.webmd.com/vitamins/ai/ingredientmono-910/corn-cockle,"Corn cockle is  UNSAFE  to take by  mouth . Several chemicals found in it are considered poisonous. Poisoning symptoms include  diarrhea , drooling,  dizziness ,  vomiting , paralysis, breathing difficulty, and  coma .    There isn’t enough information to know whether it is safe to apply corn cockle to the skin.  "
